User,Followers,Following
anikbernstein,"['upsetanne', 'enolumi', 'matlachic', 'rocknrollsucide', 'laluna2706', 'vgorbaty', 'elijahg2468', 'signupforstein', 'audioelis', 'radicalrem', 'adrienhoppenot', 'jrode1105', 'mshooster', 'arip', 'joliezhang', 'kaleknndy', 'emma_gif', 'skasha', 'chasemayo', 'cyeoman', 'slucente', 'lurobinson', 'jt1', 'stefanocastro7', 'misterpip', 'msnowfilms', 'trinidad_aryan', 'justinayam', 'alampietti', 'hanroco', 'lristov', 'angelica123', 'sherwinyu99', 'gabriel_ballard', 'qtucker', 'nathancheng', 'geoff_minet', 'thefrogmam', 'wjacobson124', 'jcicco', 'lepelstat', 'trcksbeforefood', 'uncleho', 'paulacrea', 'lucieplasse', 'aadl_42', 'mattgrowly', 'szindi', 'imsrychrisj', 'theomatza', 'anniening', 'tophatattack', 'cu77lefish', 'jppw95', 'dosofsky', 'nsellman', 'robyntmutant', 'kim12601']","['upsetanne', 'enolumi', 'matlachic', 'laluna2706', 'rocknrollsucide', 'vgorbaty', 'jessenewman', 'elijahg2468', 'signupforstein', 'audioelis', 'adrienhoppenot']"
emmaalmeida,[],['maddyrussell']
alexandersong,[],['anniening']
rachelannebartz,"['biancapsmith', 'oliviacrandall', 'bagglebones']","['biancapsmith', 'oliviacrandall', 'bagglebones']"
gloriaroh,['knowthewonder3'],['knowthewonder3']
mollyjthomas,"['oliviacrandall', 'alpaltal']",['oliviacrandall']
taylorbundy,[],[]
clclaaraa,[],['maddyrussell']
shawnla,"['amirmoverman520', 'gatlin_murray', 'bmi', 'hyunburger', 'matt906', 'abel24601', 'gusaronson', 'oliviadecamps', 'joelk3000', 'pchsilver96', 'dsorkin', 'theomatza', 'alexsennett16']",[]
leoz55,['10037105'],['10037105']
locascio,[],['hyunburger']
ennui_morricone,"['lepelstat', 'alextripp', 'alampietti', 'trcksbeforefood', 'illeeahh', 'harrisonquinno']",[]
jakemarston,"['shuuuuu', 'killryanrosu', 'nikhileshkumar', 'swhisenhunt', 'filmsean', 'krightnow', 'justgross', 'jaketay', 'mshooster', 'alexdarling', 'jesseryan12']",[]
gavinbuckland,['citrusandacidic'],"['lzbthvdngrnd', 'citrusandacidic']"
maddiest,"['chelsaat', 'juliannebell', 'rcorella', 'millennialmarge', 'emschcog', 'kubiruba', 'alisonmariejay', 'katkins19', 'oliviacrandall', 'rab62', 'em___dash', 'audreyharbottle', 'alpaltal', 'sarawatchestuff', 'sarawthouttheh', 'fablady', 'pruittkn', 'noabournexo', 'takinkarabizniz', 'amitygardens']","['juliannebell', 'chelsaat', 'emschcog', 'kubiruba', 'oliviacrandall', 'alpaltal', 'sarawatchestuff', 'em___dash', 'audreyharbottle']"
zoeyscout,[],[]
perrysnorkels,[],"['oliviaalice', 'vocloz', 'jaxwise']"
